行业名称,日期,相对强弱_X,动量_Y,突破动能得分_气泡大小,板块5日平均涨幅
粮油加工,2026-06-17,-12.78,-2.91,0.0,-19.09
饰品,2026-06-17,-5.76,-3.15,0.0,-20.49
农业综合Ⅱ,2026-06-17,0.1,-3.2,0.0,-26.19
小金属,2026-06-17,10.17,-3.24,0.0,25.38
其他运输设备,2026-06-17,-11.24,-3.33,0.0,-21.62
洗护用品,2026-06-17,-2.01,-3.38,0.0,-17.72
纺织制造,2026-06-17,-1.35,-3.39,0.0,-16.76
国防军工,2026-06-17,2.97,-3.48,0.0,-6.37
基建市政工程,2026-06-17,-4.81,-3.56,0.0,-14.69
农产品加工,2026-06-17,8.01,-3.66,0.0,16.74
商用车,2026-06-17,-5.84,-3.76,0.0,-19.98
摩托车及其他,2026-06-17,-4.04,-3.94,0.0,-14.41
自然景区,2026-06-17,-7.59,-4.14,0.0,-12.86
医疗服务,2026-06-17,-6.99,-4.16,0.0,-13.77
其他医疗服务,2026-06-17,-8.67,-4.18,0.0,-22.32
铜,2026-06-17,3.79,-4.57,0.0,5.93
医药生物,2026-06-17,-6.81,-5.24,0.0,-15.18
文字媒体,2026-06-17,-2.66,-5.73,0.0,-24.23
民爆制品,2026-06-17,-4.91,-5.85,0.0,-16.87
医药流通,2026-06-17,-7.62,-5.86,0.0,-14.7
涂料,2026-06-17,-14.75,-5.91,0.0,-21.4
其他生物制品,2026-06-17,-8.84,-6.08,0.0,-21.48
印染,2026-06-17,4.75,-6.63,0.0,-13.56
塑料包装,2026-06-17,5.43,-6.76,0.0,4.46
工业金属,2026-06-17,1.28,-6.78,0.0,-10.59
专业工程,2026-06-17,-3.7,-7.57,0.0,-9.29
白银,2026-06-17,-4.2,-7.78,0.0,-15.87
医疗美容,2026-06-17,-6.22,-8.31,0.0,-1.74
地面兵装Ⅱ,2026-06-17,-2.97,-8.75,0.0,-10.15
其他小金属,2026-06-17,4.2,-9.03,0.0,4.71
贵金属,2026-06-17,-6.15,-10.18,0.0,-14.59
其他养殖,2026-06-17,-21.45,-14.95,0.0,-32.77
宠物食品,2026-06-17,-13.0,-19.47,0.0,-26.52
通信线缆及配套,2026-06-17,15.12,-20.46,0.0,29.82
钼,2026-06-17,-7.19,-91.77,0.0,45.09
